Region,Host,Room_Type,Max Price
Shibuya Ku,Yoshida,Entire home/apt,749980
Sumida Ku,Taro,Entire home/apt,75966
Nerima Ku,Aiko,Entire home/apt,24963
Setagaya Ku,Tanya & Toshiro,Entire home/apt,128045
Arakawa Ku,Niiyama,Private room,52079
Shinjuku Ku,Ice,Entire home/apt,249958
Mitaka Shi,千恵,Entire home/apt,30021
Adachi Ku,Rick And Lily,Entire home/apt,50035
Katsushika Ku,Qiqa,Entire home/apt,99962
Meguro Ku,野村,Entire home/apt,89955
Toshima Ku,Hara,Entire home/apt,1000046
Minato Ku,Beacon,Entire home/apt,392206
Shinagawa Ku,大輔,Entire home/apt,82961
Suginami Ku,Ryosuke,Private room,139989
Koto Ku,肖冰,Entire home/apt,105019
Akishima Shi,Tomoyuki&Maki,Entire home/apt,3874
Bunkyo Ku,Plays,Entire home/apt,105019
Taito Ku,Rita,Entire home/apt,1000046
Itabashi Ku,Marco,Entire home/apt,200031
Ota Ku,Yumi,Entire home/apt,129121
Edogawa Ku,Chihiro,Entire home/apt,99962
Machida Shi,Masaru,Private room,10975
Kita Ku,宏美,Shared room,78979
Higashimurayama Shi,Sohei,Entire home/apt,16033
Nakano Ku,Rita,Entire home/apt,1000046
Hino Shi,里枝,Private room,20014
Hachioji Shi,皎月山莊,Entire home/apt,27976
Koganei Shi,Yasuko,Entire home/apt,10007
Kokubunji Shi,Tommy,Entire home/apt,6994
Ogasawara Mura,Ganji,Private room,8608
Musashino Shi,Plays / ﾌﾟﾚｲｽﾞ,Entire home/apt,15495
Okutama Machi,森のcory,Entire home/apt,34970
Kodaira Shi,桜花小道SAKURA Komichi,Entire home/apt,5810
Akiruno Shi,Max,Entire home/apt,10007
Chiyoda Ku,Hara,Entire home/apt,1000046
Chuo Ku,Etao,Private room,74568
Fuchu Shi,岡本,Entire home/apt,14957
Inagi Shi,Rin,Private room,3551
Fussa Shi,田村,Entire home/apt,4950
Tama Shi,Satoshi & Hitomi,Entire home/apt,8823
Nishitokyo Shi,Kenji,Entire home/apt,34325
Komae Shi,Masato,Entire home/apt,26039
Chofu Shi,Risa,Private room,14957
Hinohara Mura,Norukiajapan,Entire home/apt,33034
Ome Shi,Toshihiro,Private room,4196
Oshima Machi,Caravan,Private room,20014
Kozushima Mura,Vacation House,Private room,9039
Higashiyamato Shi,Noriko,Private room,3013
Hamura Shi,陽子,Entire home/apt,6671
Tachikawa Shi,大明,Private room,14957
Musashimurayama Shi,敏,Private room,3658
Niijima Mura,Uego,Private room,10007
Hachijo Machi,Michiyo,Entire home/apt,16463
Kunitachi Shi,こまち,Private room,3981
